run_type,br,N,hot,mode,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,extractor_llm_time_sec,reasoner_llm_time_sec,total_time_sec,mutation_ratio,noop_ratio,llm_time_sec,non_llm_time_sec,llm_fraction,extractor_fraction,reasoner_fraction
real,8,500,0.1,dag,1.0,0.7161605856640038,14.285714285714286,0.07937362648919224,500,35,465,691.6875018663704,39.686813244596124,698.1674361992627,0.93,0.07,731.3743151109666,-33.206878911703825,1.047562915698959,0.9907186528661831,0.056844262832775806
real,8,500,0.1,batch,0.962059620596206,0.7220406369497203,63.0,0.022957965817302466,500,26,474,690.7881079800427,11.478982908651233,692.4818000718951,0.948,0.052,702.2670908886939,-9.785290816798806,1.0141307552281993,0.9975541709664043,0.016576584261794976
real,8,500,0.1,sequential,1.0,0.6644739714981351,1.0,0.7804338161796331,500,35,465,701.2363323420286,390.21690808981657,752.474922189489,0.93,0.07,1091.4532404318452,-338.9783182423562,1.4504845387485144,0.9319065814201879,0.5185779573283265
real,8,100,0.5,dag,1.0,0.7385604701126516,4.761904761904762,0.1718263103440404,100,4,96,133.54175893217325,17.18263103440404,135.3985273335129,0.96,0.04,150.7243899665773,-15.32586263306439,1.1131907631115796,0.9862866425661627,0.12690412054541686
real,8,100,0.5,batch,0.9534883720930233,0.744975018422303,13.0,0.07514191526919603,100,3,97,133.21589923091233,7.514191526919603,134.2326890528202,0.97,0.03,140.73009075783193,-6.497401705011725,1.0484040195488822,0.9924251698369256,0.05597884971195644
real,8,100,0.5,sequential,1.0,0.7043908992070916,1.0,0.7047701543755829,100,4,96,135.20527591370046,70.4770154375583,141.96662692911923,0.96,0.04,205.68229135125875,-63.715664422139525,1.4488073415588816,0.9523736587839439,0.49643368277493766
real,8,500,0.5,dag,1.0,0.755191914925302,6.578947368421052,0.1526584996841848,500,61,439,649.1767039187253,76.3292498420924,662.0833593662828,0.878,0.122,725.5059537608176,-63.422594394534826,1.095792461020679,0.9805059963145558,0.11528646470612312
real,8,500,0.5,batch,0.9512195121951219,0.7658067436443842,63.0,0.02555917998030782,500,61,439,650.8866136949509,12.779589990153909,652.906237963587,0.878,0.122,663.6662036851048,-10.759965721517801,1.0164801086218416,0.9969067162309012,0.019573392390940265
real,8,500,0.5,sequential,1.0,0.7050279506551284,1.0,0.7887631994299591,500,61,439,658.09730197303,394.38159971497953,709.1917413137853,0.878,0.122,1052.4789016880095,-343.2871603742242,1.4840540863297154,0.927953984283429,0.5561001020462863
real,8,100,0.95,dag,1.0,0.821116115739917,3.3333333333333335,0.24934909353032708,100,25,75,119.07130260765553,24.934909353032708,121.78545528836548,0.75,0.25,144.00621196068823,-22.22075667232275,1.182458214075795,0.9777136549329035,0.20474455914289144
real,8,100,0.95,batch,0.8695652173913043,0.8337241496062971,13.0,0.07766751939430833,100,24,76,118.83158488571644,7.766751939430833,119.9437488373369,0.76,0.24,126.59833682514727,-6.654587987810373,1.0554809071111748,0.9907276205521245,0.0647532865590503
real,8,100,0.95,sequential,1.0,0.783516730797221,1.0,0.7119384830631316,100,25,75,120.75653873197734,71.19384830631316,127.62969323992729,0.75,0.25,191.9503870382905,-64.32069379836321,1.5039633972750261,0.9461476844966688,0.5578157127783575
real,8,100,0.1,dag,1.0,0.6950808317009591,7.142857142857143,0.11907657036557794,100,2,98,142.8530851919204,11.907657036557794,143.86815955676138,0.98,0.02,154.7607422284782,-10.89258267171681,1.0757122542282838,0.99294441266248,0.0827678415658037
real,8,100,0.1,batch,1.0,0.7014430110955884,13.0,0.07638040089979768,100,2,98,141.45100928470492,7.638040089979768,142.56325662694871,0.98,0.02,149.0890493746847,-6.525792747735977,1.0457747171475769,0.9921982187517345,0.05357649839584227
real,8,100,0.1,sequential,1.0,0.6171285960914961,1.0,0.7336372726969421,100,2,98,155.19023641571403,73.36372726969421,162.0407815054059,0.98,0.02,228.55396368540823,-66.51318218000233,1.4104718674032275,0.9577233272633696,0.4527485401398579
