(Cold_Sub_1, Cold_Pred_3) -> Hot_Obj_0
(Cold_Sub_11, Hot_Pred_2) -> Hot_Obj_2
(Cold_Sub_12, Hot_Pred_0) -> Hot_Obj_0
(Cold_Sub_12, Hot_Pred_1) -> Hot_Obj_1
(Cold_Sub_12, Hot_Pred_2) -> Hot_Obj_4
(Cold_Sub_13, Cold_Pred_9) -> Cold_Obj_11
(Cold_Sub_13, Hot_Pred_0) -> Cold_Obj_18
(Cold_Sub_13, Hot_Pred_1) -> Hot_Obj_0
(Cold_Sub_14, Cold_Pred_14) -> Hot_Obj_4
(Cold_Sub_14, Hot_Pred_2) -> Hot_Obj_4
(Cold_Sub_16, Hot_Pred_1) -> Cold_Obj_34
(Cold_Sub_16, Hot_Pred_2) -> Hot_Obj_1
(Cold_Sub_17, Cold_Pred_13) -> Hot_Obj_1
(Cold_Sub_17, Hot_Pred_2) -> Hot_Obj_0
(Cold_Sub_19, Hot_Pred_2) -> Hot_Obj_4
(Cold_Sub_2, Hot_Pred_1) -> Hot_Obj_1
(Cold_Sub_2, Hot_Pred_2) -> Hot_Obj_3
(Cold_Sub_20, Hot_Pred_2) -> Hot_Obj_2
(Cold_Sub_23, Cold_Pred_5) -> Hot_Obj_0
(Cold_Sub_24, Hot_Pred_0) -> Hot_Obj_4
(Cold_Sub_24, Hot_Pred_2) -> Cold_Obj_28
(Cold_Sub_25, Hot_Pred_0) -> Hot_Obj_2
(Cold_Sub_26, Hot_Pred_2) -> Hot_Obj_1
(Cold_Sub_27, Hot_Pred_0) -> Hot_Obj_0
(Cold_Sub_28, Hot_Pred_2) -> Cold_Obj_10
(Cold_Sub_29, Hot_Pred_2) -> Hot_Obj_2
(Cold_Sub_30, Cold_Pred_12) -> Cold_Obj_42
(Cold_Sub_31, Hot_Pred_2) -> Cold_Obj_23
(Cold_Sub_32, Hot_Pred_0) -> Hot_Obj_3
(Cold_Sub_32, Hot_Pred_1) -> Cold_Obj_28
(Cold_Sub_36, Hot_Pred_2) -> Hot_Obj_4
(Cold_Sub_37, Hot_Pred_2) -> Hot_Obj_4
(Cold_Sub_38, Hot_Pred_0) -> Hot_Obj_0
(Cold_Sub_39, Hot_Pred_2) -> Cold_Obj_49
(Cold_Sub_4, Hot_Pred_2) -> Hot_Obj_0
(Cold_Sub_40, Hot_Pred_0) -> Hot_Obj_0
